id;dc_location;type;box_size;delivery;tat_date;tah_hour_of_day
1;Mouse Villages;Return;unleash integrate;Gloves Account Belarussian;2022-12-06;60215
2;Loan parsing Gorgeous;Return;Cambridgeshire;Distributed Engineer user-facing;2022-12-06;47461
3;infomediaries channels scalable;Forward;indexing;multi-tasking Tasty;2022-12-05;34467
4;Functionality grey;Forward;human-resource Crossing Lilangeni;Music Handmade;2022-12-05;65867
5;Ball Movies;Return;schemas;Specialist challenge;2022-12-06;79271
6;bypass;Forward;Streamlined;invoice Quality-focused hack;2022-12-05;34351
7;wireless Account;Return;Practical;Salvador data-warehouse Solutions;2022-12-05;94010
8;transmit Tasty;Return;Functionality Tools withdrawal;Home Shoes;2022-12-06;17146
9;Home payment indigo;Forward;Frozen;strategic Florida Lithuania;2022-12-05;70295
10;frame azure Ergonomic;Forward;Shilling;Agent;2022-12-06;13202
